metadata/name,metadata/manufacturer,metadata/part_numbers/0,metadata/part_numbers/1,metadata/series,metadata/variant,capacity,form_factor,interface,nvme,storage_type,type,cache,metadata/releaseYear,metadata/part_numbers/2,metadata/part_numbers/3,metadata/part_numbers/4,metadata/part_numbers/5
MSI SPATIUM M480 HS 1TB SSD M.2-2280 PCIe 4.0 X4 NVMe,MSI,S78-440L430-P83                                                    SPATIUM M480 1TB,S78-440L430-P83,SPATIUM,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
PNY CS2140 2TB SSD M.2-2280 PCIe 4.0 x4 NVMe,PNY,M280CS2140-2TB-RB,,CS2140,2000GB,2000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"TEAMGROUP GX1 480GB SSD 2.5"" SATA",TEAMGROUP,T253X1480G0C101,,GX1,480GB,480,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"AMD RADEON-R7SSD-240G 240 GB SSD 2.5"" SATA 6.0 Gb/s",AMD,RADEON-R7SSD-240G,,RADEON-R7SSD-240G,240GB,240,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Crucial P310 1TB SSD M.2 PCIe 4.0 NVMe,Crucial,CT1000P310SSD8,,P310,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"Seagate IronWolf Pro 14TB 3.5"" HDD 7200RPM SATA",Seagate,ST14000NE0008,,IronWolf,14000GB,14000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Seagate 1200 800GB SSD 2.5"" SAS 12.0 Gb/s",Seagate,ST800FM0063,ST800FM0053,1200,800GB,800,"2.5""",SAS 12.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Intel D3-S4610 3TB SSD 2.5"" SATA",Intel,SSDSC2KG038T801,,D3-S4610,3000GB,3000,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
SanDisk Extreme 1TB SSD M.2 PCIe 4.0 NVMe,SanDisk,SDSSDX3N-1T00-G26,,Extreme,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
Western Digital Blue SN550 500GB SSD M.2 PCIe 3.0 NVMe,Western Digital,WDS500G2B0C,,Blue,500GB,500,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Toshiba HDKCC00 500GB 2.5"" HDD 7200RPM SATA",Toshiba,HDKCC00,,HDKCC00,500GB,500,"2.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"TEAMGROUP T-Force Vulcan Z 512GB SSD 2.5"" SATA",TEAMGROUP,T253TZ512G0C101,,T-Force,512GB,512,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Seagate IronWolf NAS 3TB HDD 3.5"" 5400RPM SATA",Seagate,ST3000VN006,,IronWolf,3000GB,3000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
Seagate FireCuda 530R 1TB SSD M.2-2280 PCIe 4.0 X4 NVMe,Seagate,ZP1000GM3A063,7.63649E+11,FireCuda,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"Western Digital Red 4TB HDD 5400 RPM 3.5"" SATA",Western Digital,WD40EFRX,,Red,4000GB,4000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Western Digital Scorpio Blue 750 GB HDD 5400RPM 2.5"" SATA",Western Digital,WD7500BPVT,,Scorpio,750GB,750,"2.5""",SATA 3.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Samsung Spinpoint M8 500GB Internal HDD 5400RPM 2.5"" SATA 3.0 Gb/s",Samsung,ST500LM012,,Spinpoint,500GB,500,"2.5""",SATA 3.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Western Digital Blue 500GB HDD 3.5"" 7200RPM SATA",Western Digital,WD5000AZLX,,Blue,500GB,500,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Transcend TS16GSSD500 16 GB SSD 2.5"" SATA 3.0 Gb/s",Transcend,TS16GSSD500,,TS16GSSD500,16GB,16,"2.5""",SATA 3.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Seagate Exos X24 24TB HDD 7200RPM 3.5"" SAS 12.0 Gb/s",Seagate,ST24000NM007H,,Exos,24000GB,24000,"3.5""",SAS 12.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Samsung 850 Pro 256GB SSD 2.5"" SATA 6.0 Gb/s",Samsung,MZ-7KE256BW,BPSCS27759-MZ-7KE256BW,850,256GB,256,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Seagate Surveillance 2TB HDD 3.5"" 5900RPM SATA",Seagate,ST2000VX005,,Surveillance,2000GB,2000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Western Digital Ultrastar DC HC550 14TB Internal HDD 7200RPM 3.5"" SATA 6.0 Gb/s",Western Digital,0F38581,,Ultrastar,14000GB,14000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,512,,,,,
Patriot Viper PV553 2TB SSD M.2-2280 PCIe 5.0 x4 NVMe,Patriot,PV553P2TBM28H,S9174366,Viper,2000GB,2000,M.2-2280,M.2 PCIe 5.0 x4,TRUE,SSD,SSD,,,,,,
Sabrent Rocket 1TB SSD M.2-2280 PCIe 3.0 X4 NVMe,Sabrent,SB-ROCKET-1TB,,Rocket,1000GB,1000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Silicon Power SU128GBSS3A55S25AE 128GB SSD 2.5"" SATA 6.0 Gb/s",Silicon Power,SU128GBSS3A55S25AE,SP128GBSS3A55S25,SU128GBSS3A55S25AE,128GB,128,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Kingston UV500B 960GB SSD 2.5"" SATA 6.0 Gb/s",Kingston,SUV500B,960G,UV500B,960GB,960,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Seagate BarraCuda Pro 4TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s",Seagate,ST4000DM006,,BarraCuda,4000GB,4000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
Crucial P3 Plus 1TB SSD M.2-2280 PCIe 4.0 x4 NVMe,Crucial,CT1000P3PSSD8,,P3,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"Western Digital RE4 2TB HDD 3.5"" 7200RPM SATA",Western Digital,WD2003FYYS-02W0B0,,RE4,2000GB,2000,"3.5""",SATA 3.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Seagate BarraCuda 1TB 3.5"" HDD 7200RPM SATA Internal",Seagate,ST31000333AS,,BarraCuda,1000GB,1000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
PNY XLR8 CS3040 4TB SSD M.2-2280 PCIe 4.0 x4 NVMe,PNY,M280CS3040-4TB-RB,CS3040,XLR8,4000GB,4000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"Western Digital WD Blue 8TB 3.5"" HDD 5640RPM SATA 6.0 Gb/s",Western Digital,WD80EAAZ,7.18038E+11,WD,8000GB,8000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
KingSpec XG7000 4TB SSD M.2-2280 PCIe 4.0 x4 NVMe,KingSpec,XG 7000-4TB,XG7000-4TB,XG7000,4000GB,4000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
Crucial P1 1TB SSD M.2-2280 PCIe 3.0 x4 NVMe,Crucial,CT1000P1SSD8,,P1,1000GB,1000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
Lexar Professional NM800PRO 1TB SSD M.2 PCIe 4.0 NVMe w/Heatsink,Lexar,LNM800P001T-RN8NG,,Professional,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
TEAMGROUP T-Create Expert 1TB SSD M.2-2280 PCIe 3.0 X4 NVMe,TEAMGROUP,TM8FPF001T0C711,,T-Create,1000GB,1000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
Netac NV3000 250 GB SSD M.2-2280 PCIe 3.0 x4 NVMe,Netac,NT01NV3000-250-E4X,,NV3000,250GB,250,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"SAMSUNG 970 EVO PLUS M.2 2280 1TB PCIe Gen 3.0 x4, NVMe 1.3 V-NAND Internal Solid State Drive (SSD) MZ-V7S1T0B/AM",SAMSUNG,MZ-V7S1T0B/AM,,970 EVO PLUS,,1000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,2019,,,,
"Western Digital Blue 750GB 2.5"" HDD 5400RPM SATA",Western Digital,WD7500BPVX,,Blue,750GB,750,"2.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"PNY Prevail 240GB SSD 2.5"" SATA 6.0 Gb/s",PNY,SSD9SC240GEDE-PB,,Prevail,240GB,240,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Inland Premium 1TB SSD M.2 NVMe,Inland,1TB NVME PREMIU,,Premium,1000GB,1000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
ADATA XPG GAMMIX S7 1TB M.2 SSD PCIe 3.0 NVMe,ADATA,AGAMMIXS7-1TT-C,,XPG,1000GB,1000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"TEAMGROUP T-Force Vulcan G 512GB SSD 2.5"" SATA",TEAMGROUP,T253TG512G3C301,,T-Force,512GB,512,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Western Digital SN530 512GB SSD M.2-2280 PCIe 3.0 NVMe,Western Digital,SDBPNPZ-512G,,SN530,512GB,512,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Western Digital WD_BLACK 1TB HDD 3.5"" 7200RPM SATA",Western Digital,WD1003FZEX,8541580783,WD_BLACK,1000GB,1000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,7.41587E+11,,,
"Transcend SSD230S 128GB 2.5"" SSD SATA 6.0 Gb/s",Transcend,TS128GSSD230S,,SSD230S,128GB,128,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Samsung 840 Pro 64GB SSD 2.5"" SATA 6.0 Gb/s",Samsung,MZ-7PD064BW,,840,64GB,64,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Rocket Q NVMe SSD,Sabrent,SB-RKTQ-1TB,,Rocket Q,1TB M.2 2280 PCIe 3.0 NVMe QLC SSD,1024,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,2021,,,,
"Crucial BX300 480GB SSD 2.5"" SATA",Crucial,CT480BX300SSD1,,BX300,480GB,480,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Western Digital WD Blue 2TB 3.5"" HDD 5400RPM SATA 6.0 Gb/s",Western Digital,WD20EARZ,WD20EARZ-SPC5XB0,WD,2000GB,2000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Western Digital Red Plus 3TB 3.5"" HDD SATA",Western Digital,WD30EFPX,,Red,3000GB,3000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
TEAMGROUP T-Force GE PRO AirFlow 1TB SSD M.2-2280 PCIe 5.0 NVMe,TEAMGROUP,TM8FG3001T0C133,,T-Force,1000GB,1000,M.2-2280,M.2 PCIe 5.0 x4,TRUE,SSD,SSD,,,,,,
"Seagate IronWolf NAS 8TB 3.5"" Internal HDD 7200RPM SATA",Seagate,ST8000VN002,,IronWolf,8000GB,8000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Seagate Surveillance 6TB 3.5"" HDD 5400RPM SATA Internal",Seagate,ST6000VX0001,,Surveillance,6000GB,6000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Silicon Power A58 512 GB 2.5"" SSD SATA 6.0 Gb/s",Silicon Power,SU512GBSS3A58A25CA,,A58,512GB,512,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"TEAMGROUP T-Force Delta Max RGB 1TB SSD 2.5"" SATA",TEAMGROUP,T253TM001T3C302,,T-Force,1000GB,1000,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Mushkin Pilot-E 2TB SSD M.2-2280 PCIe 3.0 X4 NVMe,Mushkin,MKNSSDPE2TB-D8,,Pilot-E,2000GB,2000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"TEAMGROUP T-Force Vulcan Z 2TB SSD 2.5"" SATA 6.0 Gb/s",TEAMGROUP,T253TZ002T0C101,,T-Force,2000GB,2000,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Western Digital Caviar Green 1TB HDD 3.5"" SATA",Western Digital,WD10EARS,,Caviar,1000GB,1000,"3.5""",SATA 3.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Seagate BarraCuda 1TB 2.5"" HDD 5400RPM SATA 6.0 Gb/s",Seagate,ST1000LM048,,BarraCuda,1000GB,1000,"2.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
ADATA XPG GAMMIX S11 Pro 256GB SSD M.2-2280 PCIe 3.0 X4 NVMe,ADATA,AGAMMIXS11P-256GT-C,,XPG,256GB,256,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Seagate Nytro Enterprise 15.36TB SSD 2.5"" SAS 12.0 Gb/s",Seagate,XS15360SE70103,XS15360SE70045,Nytro,15000GB,15000,"2.5""",SAS 12.0 Gb/s,FALSE,SSD,SSD,,,,,,
Corsair MP600 CORE 2TB SSD M.2-2280 PCIe 4.0 X4 NVMe,Corsair,CSSD-F2000GBMP600COR,,MP600,2000GB,2000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
Transcend 220S 256GB SSD M.2-2280 PCIe 3.0 x4 NVMe,Transcend,TS256GMTE220S,,220S,256GB,256,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Seagate ST4000NC001 4TB HDD 3.5"" 5900RPM SATA 6.0 Gb/s",Seagate,ST4000NC001,,ST4000NC001,4000GB,4000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
Lenovo OPAL2 512GB M.2-2280 SSD PCIe 4.0 NVMe,Lenovo,4XB1D04756,,OPAL2,512GB,512,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"Toshiba MG03SCA 3TB HDD 3.5"" 7200RPM SATA",Toshiba,MG03SCA300,,MG03SCA,3000GB,3000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
Samsung 850 Evo 250GB M.2-2280 SSD SATA,Samsung,MZ-N5E250BW,,850,250GB,250,M.2-2280,M.2 SATA,FALSE,SSD,SSD,,,,,,
MSI SPATIUM M560 2TB SSD M.2-2280 PCIe 5.0 x4 NVMe,MSI,SM560N2TB,,SPATIUM,2000GB,2000,M.2-2280,M.2 PCIe 5.0 x4,TRUE,SSD,SSD,,,,,,
"Toshiba N300 8TB HDD 3.5"" 7200RPM SATA",Toshiba,HDWG480UZSVA,,N300,8000GB,8000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Corsair Force GT 480 GB 2.5"" SSD SATA 6.0 Gb/s",Corsair,CSSD-F480GBGT-BK,,Force,480GB,480,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Inland TN325 512GB M.2-2242 SSD PCIe 3.0 X4 NVMe,Inland,512GB TN325,TN325,TN325,512GB,512,M.2-2242,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
Klevv CRAS C910 500GB SSD M.2-2280 PCIe 4.0 x4 NVMe,Klevv,K500GM2SP0-C91,C910,CRAS,500GB,500,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"Micron 5200 Pro 1.92 TB 2.5"" SSD SATA 6.0 Gb/s",Micron,MTFDDAK1T9TDD1AT1ZAB,,5200,1000GB,1000,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"TEAMGROUP EX2 512GB SSD 2.5"" SATA 6.0 Gb/s",TEAMGROUP,T253E2512G0C101,,EX2,512GB,512,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
TEAMGROUP MP44 4TB M.2-2280 SSD PCIe 4.0 x4 NVMe,TEAMGROUP,TM8FPW004T0C101,,MP44,4000GB,4000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"OCZ Vertex 3 120GB SSD 2.5"" SATA",OCZ,VTX3-25SAT3-120G,,Vertex,120GB,120,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Western Digital Blue SN550 2TB SSD M.2 PCIe 3.0 X4 NVMe,Western Digital,WDBA3V0020BNC-WRSN,,Blue,2000GB,2000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Patriot Burst Elite 480 GB SSD 2.5"" SATA 6.0 Gb/s",Patriot,PBE480GS25SSDR,,Burst,480GB,480,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Western Digital Black SN750 Rev2 500GB M.2 SSD PCIe 3.0 NVMe,Western Digital,WDBRPG5000ANC-WRSN,,Black,500GB,500,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Hitachi Travelstar Z7K500 500 GB HDD 7200RPM 2.5"" SATA 6.0 Gb/s",Hitachi,HTS725050A7E630,,Travelstar,500GB,500,"2.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Toshiba X300 4TB HDD 3.5"" 7200RPM SATA",Toshiba,HDWE140XZSTA,,X300,4000GB,4000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
Silicon Power P34A80 1TB SSD M.2-2280 NVMe,Silicon Power,SU001TBP34A80M28AB,P34A80,P34A80,1000GB,1000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,FIN-SU001TBP34A80M28AB,,,
"Western Digital Green 120GB SSD 2.5"" SATA",Western Digital,WDS120G2G0A,,Green,120GB,120,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Seagate ST6000NM0104 6TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s",Seagate,ST6000NM0104,,ST6000NM0104,6000GB,6000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
Seagate IronWolf ST16000VN001 - hard drive - 16 TB - SATA 6Gb/s,Seagate Technology,ST16000VNZ01,ST16000VN001,IronWolf,,16000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,2024,,,,
Intel 660p 2TB SSD M.2 PCIe 3.0 NVMe,Intel,SSDPEKNW020T8X1,978351,660p,2000GB,2000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
Oyen Digital E18-8TBICS6 8TB SSD M.2-2280 PCIe 4.0 X4 NVMe,Oyen Digital,E18-8TBICS6,,E18-8TBICS6,8000GB,8000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
Intel DC P3600 1.6 TB SSD PCIe NVMe,Intel,SSDPEDME016T401,7.35858E+11,DC,1000GB,1000,PCIe,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Western Digital RE 2TB HDD 3.5"" 7200RPM SATA 6.0 Gb/s Internal",Western Digital,WD2004FBYZ,,RE,2000GB,2000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Neo Forza NFS01 240GB 2.5"" SSD SATA 6.0 Gb/s",Neo Forza,NFS011SA324-6007200,,NFS01,240GB,240,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Western Digital Blue 5TB HDD 3.5"" SATA",Western Digital,WD50EZRZ,,Blue,5000GB,5000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
TEAMGROUP A440 Lite 2TB M.2-2280 SSD PCIe 4.0 x4 NVMe,TEAMGROUP,TM8FFQ002T0C129,,A440,2000GB,2000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"Kingston A400 120GB SSD 2.5"" SATA",Kingston,SA400S37,120G,A400,120GB,120,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,SA400S37/120G,,,
"Seagate Pulsar.2 800GB SSD 2.5"" SAS 6.0 Gb/s",Seagate,ST800FM0002,ST800FM002,Pulsar.2,800GB,800,"2.5""",SAS 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Western Digital Black SN750 1TB M.2-2280 SSD PCIe 3.0 x4 NVMe,Western Digital,WDS100T3XHC                                                    WDS100T3XHC-00SJG0,,Black,1000GB,1000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"XOC Nitro 512GB SSD 2.5"" SATA",XOC,XCNTS512G,,Nitro,512GB,512,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
OCZ RevoDrive 230GB SSD PCIe PCIe x4 NVMe,OCZ,OCZSSDPX-1RVD0230,,RevoDrive,230GB,230,PCIe,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"TEAMGROUP T-Force Vulcan Z 240GB SSD 2.5"" SATA",TEAMGROUP,T253TZ240G0C101,,T-Force,240GB,240,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Intel DC P4511 2TB SSD M.2-22110 PCIe 3.0 X4 NVMe,Intel,SSDPELKX020T801,,DC,2000GB,2000,M.2-22110,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
TEAMGROUP A440 Lite 512GB SSD M.2-2280 PCIe 4.0 X4 NVMe,TEAMGROUP,TM8FFQ512G0C129,,A440,512GB,512,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
V7 V7SSD240GBM2SU 240GB SSD M.2-2280 SATA,V7,V7SSD240GBM2SU,,V7SSD240GBM2SU,240GB,240,M.2-2280,M.2 SATA,FALSE,SSD,SSD,,,,,,
Plextor M8Pe 512GB SSD M.2-2280 PCIe 3.0 X4 NVMe,Plextor,PX-512M8PeG,,M8Pe,512GB,512,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Western Digital VelociRaptor 600GB HDD 2.5"" 10000RPM SATA Internal",Western Digital,WD6000BLHX,,VelociRaptor,600GB,600,"2.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Seagate Barracuda Compute 250GB 2.5"" SSD SATA",Seagate,STGS250401,,Barracuda,250GB,250,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"PNY CS900 240GB SSD 2.5"" SATA",PNY,SSD7CS900-240-RB                                                    SSD7CS900-240-PB,SSD7CS900-240-RB,CS900,240GB,240,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,ssd7cs900-240-rb,,,
ADATA SU800 512GB SSD M.2 SATA,ADATA,ASU800NS38-512GT-C,,SU800,512GB,512,M.2-2280,M.2 SATA,FALSE,SSD,SSD,,,,,,
"Seagate SV35.5 2TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s",Seagate,ST2000VX000,,SV35.5,2000GB,2000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
KingSpec NX-2280 512GB SSD M.2 PCIe 3.0 NVMe,KingSpec,NX-2280-512GB                                                    NX-512-2280,・・ｨ・ｺｫ・・・・・・,NX-2280,512GB,512,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,USNX512,,,
"Western Digital Scorpio Blue 80GB 2.5"" HDD 5400RPM SATA 1.5 Gb/s",Western Digital,WD800BEVS,,Scorpio,80GB,80,"2.5""",SATA 1.5 Gb/s,FALSE,HDD,HDD,,,,,,
"Seagate Exos X16 12TB HDD 3.5"" 7200RPM SATA",Seagate,ST12000NM001G,,Exos,12000GB,12000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
ADATA XPG SX8100 4TB SSD M.2-2280 PCIe 3.0 X4 NVME,ADATA,ASX8100NP-4TT-C,,XPG,4000GB,4000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Samsung 840 120GB SSD 2.5"" SATA",Samsung,MZ-7TD120BW,,840,120GB,120,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
KingSpec XG7000 PRO 1TB SSD M.2 PCIe 4.0 NVMe,KingSpec,XG 7000 PRO-1TB,,XG7000,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"PNY XLR8 120GB SSD 2.5"" SATA",PNY,SSD9SC120GMDF-RB,,XLR8,120GB,120,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Western Digital Scorpio Black 320GB HDD 7200RPM 2.5"" SATA",Western Digital,WD3200BEKT,,Scorpio,320GB,320,"2.5""",SATA 3.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Seagate ST1000NX0373 1TB 7200RPM HDD 2.5"" SAS",Seagate,ST1000NX0373,,ST1000NX0373,1000GB,1000,"2.5""",SAS 12.0 Gb/s,FALSE,HDD,HDD,,,,,,
Inland Professional 2TB SSD M.2-2280 PCIe 3.0 x4 NVMe,Inland,2TB QLC NVME,,Professional,2000GB,2000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
Kingston A400 240GB Internal SSD M.2 2280 SA400M8/240G - Increase Performance,Kingston,SA400M8/240G,,A400,,240,M.2-2280,SATA 6.0 Gb/s,FALSE,SSD,SSD,,2019,,,,
"Kingston SSDNow UV400 480GB 2.5"" SSD SATA",Kingston,SUV400S37,480G,SSDNow,480GB,480,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Seagate Savvio 300GB HDD 2.5"" 10000RPM SATA",Seagate,ST300MM0026,,Savvio,300GB,300,"2.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Western Digital Caviar Black 1TB HDD 3.5"" 7200RPM SATA",Western Digital,WDBAAZ0010HNC-NRSN,,Caviar,1000GB,1000,"3.5""",SATA 3.0 Gb/s,FALSE,HDD,HDD,,,,,,
Samsung 9100 PRO 8TB M.2-2280 SSD PCIe 5.0 X4 NVMe,Samsung,MZ-VAP8T0B,AM                                                    MZ-VAP8T0B                                                    MZ-VAP8T0BW,9100,8000GB,8000,M.2-2280,M.2 PCIe 5.0 x4,TRUE,SSD,SSD,,,,,,
"Kingston SSDNow E100 100 GB SSD 2.5"" SATA 6.0 Gb/s",Kingston,SE100S37,100G,SSDNow,100GB,100,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
