metadata/name,metadata/manufacturer,metadata/part_numbers/0,metadata/part_numbers/1,metadata/part_numbers/2,metadata/part_numbers/3,metadata/part_numbers/4,general_product_information/hyte_sku,metadata/part_numbers/5,metadata/part_numbers/6,metadata/part_numbers/7,metadata/part_numbers/8,metadata/series,metadata/variant,metadata/releaseYear,metadata/last_manually_spec_verified_at,connection_types/0,connection_types/1,ear_pad_material/0,features/0,platforms/0,platforms/1,platforms/2,use_cases/0,use_cases/1,driver_size,frequency_response_low,frequency_response_high,headphone_type,ear_cup_type,weight,has_microphone,microphone_type,frame_material
Razer Tiamat 7.1 V2 7.1 Channel Closed Gaming Headset,Razer,RZ04-02070100-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair VOID 7.1 Wired Gaming Headset,Corsair,CA-9011132-NA                                                    CA-9011132-EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Panasonic RPHT360 Closed-Back Headphones, Black / Silver",Panasonic,RPHT360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHH4506-28 Closed Earbud With Microphone,PHILIPS,SHH4506-28,SHH4506/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Flux In-Ear Headphones With Microphone,SteelSeries,61331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denon AH-D400 Closed-Back Headphones,DENON,AH-D400,AH-D400EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Siberia 800 7.1 Channel Closed Gaming Headset,SteelSeries,Siberia 800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genius Lychas HS G550 Closed-Back Wired Gaming Headset,Genius,31710040101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser M2 IEi Closed In-Ear Headphones with Microphone,Sennheiser,M2 IEi,508691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantronics RIG Closed-Back Headphones,Plantronics,89989-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etymotic Research ER4P Closed In-Ear Headphones,Etymotic Research,ER4P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP HyperX Cloud Closed-Back Gaming Headset,HP,KHX-H3CLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HJE355-W Closed In-Ear Headphones,Panasonic,RP-HJE355-W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Barracuda X (2021) 7.1 Channel Closed Headset,Razer,RZ04-03800100-R3U1,RZ04-03800100-R3M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHS3200/37 Closed Earbud With Microphone,Philips,SHS3200,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DROP Massdrop Plus Universal Closed-Back In-Ear Headphones,DROP,Universal Plus IEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantronics AUDIO628 Closed Headphones,Plantronics,AUDIO628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR J10 Earbud BLUE,Sony,MDR-J10,BLUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech Pro X Closed-Back Headphones,Logitech G,981-000906                                                    981-000907,981-000906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony DRBTN200B Wireless Closed-Back Headphones,Sony,DRBTN200B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser PX100-II Closed Headphones,Sennheiser,PX100-IIBLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS55 CORE Wireless Gaming Headset,Corsair,CA-9011290-NA                                                    CA-9011290-EU,CA-9011290-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-XB600 Closed Headphones,Sony,MDRXB600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JVC HA-A6T Wireless Earbud Closed-Back With Microphone,JVC,HAA6TW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha EPH-30WH Closed In-Ear Headphones,Yamaha,EPH-30WH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Kaira Pro for Xbox- Halo Infinite Closed Gaming Headset in Green / Black,Razer,RZ04-03470200-R3M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech ASTRO A30 LIGHTSPEED Closed-Back Wireless Gaming Headset (Playstation/PC),Logitech,939-001999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DROP DROP + HiFiMAN HE4XX Open-Back Headphones,DROP,HE4XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser Momentum Brown Closed Headphones,Sennheiser,MOMENTUM Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Acoustics AC-740 Closed-Back Wired Headphones,Cyber Acoustics,AC-740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips X2/27 Fidelio Open-Back Wired Headphones,PHILIPS,X2,27,X2/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantronics Gamecom 780 7.1 Channel Gaming Headphones,Plantronics,86051-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooler Master MH751 Headset,Cooler Master,MH-751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips ActionFit Closed In-Ear Headphones,Philips,ST702BK                                                    TAST702BK,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bose OE2i Closed-Back Headphones (White/Gray),Bose,OE2i White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiFiMAN SHANGRI-LA jr Open-Back Headphones,HiFiMAN,SHANGRI-LA jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs 70GH030000000 Closed Headphones,Creative Labs,70GH030000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-WS55BK Closed-Back Headphones,Audio-Technica,ATH-WS55BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba Oblanc U.F.O. Closed-Back Wired Headphones,Syba,OG-AUD63051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Thresher For Xbox One Closed-Back Gaming Headset,Razer,RZ04-02240100-R3U1                                                    RZ04-02240100-R3A1                                                    RZ04-02240100-R3M1                                                    RZ04-02240100-R3G1,RZ04-02240100-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech UE 900 In Ear,Ultimate Ears,985-000381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-EX40LP Closed-Back In-Ear Headphones,Sony,7.77787E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKG K326SNY Closed Earbud Headset,AKG,K326SNY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS55 SURROUND 7.1 Channel Closed Gaming Headset,Corsair,CA-9011265-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Heaven IV Closed Earbud,Final,FI-HE4BWH3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser RS 160 Closed Headphones,Sennheiser,RS 160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyle Audio PHPDJ1 Closed Headphones,Pyle Audio,PHPDJ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS55 Closed White Gaming Headset,Corsair,CA-9011281-NA                                                    CA-9011281-EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHB9100WT Closed Headphones,Philips,SHB9100WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHP9600MB/27 Open-Back Headphones Black / Gold,Philips,SHP9600MB,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coby CV400GRN Closed-Back Headphones,Coby,CBYCV400G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha EPH 50 Closed-Back In-Ear Headphones,Yamaha,EPH-50WH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCA RCAHP5042 Semi-open Headphones,RCA,RCAHP5042,HP5042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CKP200BK Closed Earbuds,Audio-Technica,ATH-CKP200BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anker Soundcore Life Q30 Closed-Back Headphones,Soundcore,A3028011,A3028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyerdynamic DT 880 Premium 250 Ohm Headphones,beyerdynamic,481793,DT 880 Premium 250 ohm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHB9100BK Closed-Back Headphones,Philips,SHB9100BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antec 761345740036 Closed-Back In-Ear Headphones,Antec,7.61346E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mad Catz F.R.E.Q. 3 Headphones,Mad Catz,MCB434090002,02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-ES33BK Closed-Back Headphones,Audio-Technica,ATH-ES33BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba GamesterGear PC200 Closed Gaming Headset,Syba,OG-AUD63079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CKR3ISBK Closed In-Ear Headset,Audio-Technica,ATH-CKR3ISBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS50 Closed Gaming Headset,Corsair,CA-9011172-NA,CA-9011170-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus TUF Gaming H3 Headset,ASUS,90YH028G-B1UA00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP HyperX Cloud Core Wired Gaming Headset w/7.1 Dongle,HP,HX-HSCC-2-BK,WW                                                    4P4F2AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imation St550 Closed-Back Headphones Black/Silver,Imation,61819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRK KNS-6400 Closed-Back Wired Headphones,KRK,KNS-6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs Sound Blaster Tactic3D Alpha Wired Gaming Headset,Creative Labs,GH012000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ozone Gaming OZRAGESTY Closed-Back Wired Gaming Headset,Ozone Gaming,OZRAGESTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba SHELL210 Closed Black / Gold Headphones,Syba,OG-AUD63056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harman Kardon J88WOR Orange / White Closed-Back Headphones,Harman Kardon,J88WOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis Nova 1X Gaming Headset,SteelSeries,61616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astro A40 7.1 Channel Closed-Back Gaming Headset,ASTRO Gaming,3AH42-HBX9W-139,939-001663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair Raptor H5 5.1 Channel Closed Headset,Corsair,H5                                                    Raptor H5                                                    CA-9011116-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-M30x Closed-Back Wired Headphones,Audio-Technica,ATH-M30x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKG K514 MKII ,AKG,K514 MKII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 660S2 Open-Back Headphones,Sennheiser,700240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDRJ10 Closed-Back Earbuds White,Sony,MDRJ10,WHITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyerdynamic T 90 Open-Back Headphones,Beyerdynamic,T90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington H1000 Closed-Back Headphones,Kensington,K83450WW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harman Kardon J55IWOR Closed Headphones,JBL,J55IWOR,J55i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy Hesh 3 Headset,Skullcandy,Hesh 3 BT,S6HTW-K617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs 51EF0480AA002 Closed Black / Silver Earbuds,Creative Labs,51EF0480AA002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyerdynamic MMX 300 (2nd Generation) Closed Gaming Headset,beyerdynamic,718300,MMX 300 2nd Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Kraken V4 Pro Wired Closed-Back Headphones,Razer,RZ04-05160100-R3U1,RZ04-05160100-R3M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss HB79 Wired Headphones Closed-Back Black,Koss,HB79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Syba OG-AUD63077 Closed-Back Headphones, Black / Green",Syba,OG-AUD63077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyerdynamic MMX 300 Headset,beyerdynamic,715565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiovox WHP141B Closed-Back Headphones,Audiovox,WHP141B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCA IVG-RCAHP60A In-Ear Closed White Headphones,RCA,IVG-RCAHP60A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy Crusher Closed-Back Headphones,Skullcandy,S6SCGY-134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Siberia P800 Wireless Gaming Headset,SteelSeries,61301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs EP 830 In-Ear Headphones,Creative Labs,51MZ0365AA002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astro Gaming A10 Closed Gaming Headset,ASTRO Gaming,939-001509,939-001531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs Zen Hybrid Pro Closed Headphones,CREATIVE,51EF1040AA000,EF1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer SE-CL331-P In-Ear Closed Pink / White Headphones,Pioneer,SE-CL331-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHS4150 Closed White Earbud,Philips,6.09585E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCA RCAHP5043 Semi-open Headphones in Black / Silver,RCA,RCAHP5043,HP5043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermaltake SHOCK 3D 7.1 7.1 Channel Closed-Back Gaming Headset,Thermaltake,HT-RSO-DIECBK-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony CZ-MDR222KD/PIN Closed Headphones,Sony,CZ-MDR222KD,PIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy Crusher Closed Headphones,Skullcandy,S6SCGY-381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CKM500ISBK Closed In-Ear With Microphone Headphones,Audio-Technica,ATH-CKM500ISBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S4CHDM-082 Closed Earbud,Skullcandy,S4CHDM-082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CKM500ISRD Closed In-Ear Headset with Microphone,Audio-Technica,ATH-CKM500ISRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-AD700 Open-Back Purple Headphones,Audio-Technica,ATH-AD700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-ANC7B Closed-Back Headphones,Audio-Technica,ATH-ANC7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 800 S Open-Back Wired Headphones,Sennheiser,HD 800 S                                                    506911,HD 800 S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSI Immerse GH50 ,MSI,IMMERSE GH50                                                    S37-0400020-SV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiFiMAN SUNDARA Open-Back Headphones,HIFIMAN,SUNDARA                                                    HE-11,SUNDARA,HE-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHP3000 Closed-Back Wired Headphones,Philips,SHP3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser DW30-HS Closed Headphones,Sennheiser,DW30-HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DROP Massdrop x Koss ESP/95X Electrostatic System Open-Back Headphones,DROP,ESP,95X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobra EARPHONE001 Closed Headphones,Cobra,EARPHONE001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S2SBFY-130 Closed In-Ear Headset with Microphone,Skullcandy,S2SBFY-130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-M40x Closed Headphones,Audio-Technica,ATH-M40x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba Oblanc U.F.O. Closed-Back Black Headphones,Syba,Oblanc U.F.O.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-M50x Closed-Back Wired Headphones,Audio-Technica,ATH-M50x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries 9H Closed-Back Gaming Headset,SteelSeries,61101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7 HS6000-BT-WHT-9NC Wireless Closed White Headphones,V7,HS6000-BT-WHT-9NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-TCM125-P Closed In-Ear Headphones,Panasonic,RP-TCM125-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech H390 Headset,Logitech,MAIN-03512,981-000014-cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony CZ-DRBTN200W Closed-Back Headphones,Sony,CZ-DRBTN200W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HJE290-P In-Ear Wired Headphones,Panasonic,RP-HJE290-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantronics GAMECOM 388 Closed Gaming Headset,Plantronics,201260-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-WS55IBK Closed-Back Black Headphones,Audio-Technica,ATH-WS55IBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHE9000/28 In-Ear Closed-Back Headphones,Philips,SHE9000,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polk UltraFit 500 In-Ear Closed Headphones,Polk,ULTRAFIT 500 BLK,GLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 429s Closed Headphones,Sennheiser,HD 429s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-TWX7 Closed Earbud With Microphone Headset,Audio-Technica,ATH-TWX7GY,ATH-TWX7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Kraken V3 X 7.1 Channel Closed-Back Gaming Headset,Razer,RZ04-03750100-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Siberia In-Ear Closed Headphones,SteelSeries,51009SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantronics .AUDIO 646 DSP Wired Closed-Back Headphones,Plantronics,.AUDIO 646 DSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Flux Pro Wired In-Ear Headset,SteelSeries,61318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monoprice 8323 Headphones,Monoprice,108323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Siberia 650 Wired Gaming Headset,SteelSeries,51192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss KSC75 Headphones,Koss,KSC75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony CZ-MDRZX600 Headphones Closed-Back,Sony,CZ-MDRZX600,GRAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermaltake VERTO Closed Headphones,Thermaltake,HT-VTO-ANECBK-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss 159617 Closed-Back Headphones Black / Silver,Koss,159617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony CZ-MDRE9LP White Closed-Back Earbuds,Sony,CZ-MDRE9LP,WHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final E1000C Closed-Back Wired Earbuds Blue / Black,final,FI-E1DPLBUC,E1000C Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis Pro Closed-Back Gaming Headset,SteelSeries,61486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus ROG Strix Go Core White Closed-Back Gaming Headset,Asus,ROGSTRIXGOCOREML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech 500vi In Ear With Microphone,Logitech,985-000084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSI IMMERSE GH40 Wired Closed-Back Headphones ENC Black,MSI,IMMERSE GH40 ENC,IMMERSE GH40 ENC AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHB9100RD Closed-Back Black / Red Headphones,Philips,SHB9100RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S6AGDZ-150 Headphones,Skullcandy,S6AGDZ-150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR XB800 Wired Closed-Back Headphones,Sony,MDRXB800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP HyperX Cloud Alpha Cloud 9 Edition Closed Gaming Headset,HP,HX-HSCAC9-BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDRE9LP Closed-Back Wired Earbuds Green / White,Sony,MDRE9LP,GRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final E1000C Closed Black Earbuds,Final,FI-E1DPLBLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft L2 LifeChat LX-3000 Closed-Back Headset,Microsoft,JUG-00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mad Catz F.R.E.Q.9 Closed Gaming Headset,Mad Catz,MCB434010A02,02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-Q68LW Closed Headphones,Sony,MDR-Q68LW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss GMR-540-ISO USB Gaming Headset,Koss,194233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs HITZ MA200 Black In-Ear Headset With Microphone,Creative Labs,51EF0600AA010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HJE120-A Wired Headphones Blue / White,Panasonic,RP-HJE120-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD558v3 Open-Back Wired Headphones,Sennheiser,HD558v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HC55-S In-Ear Closed Headphones,Panasonic,RP-HC55-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HV154-K Closed-Back Earbuds,Panasonic,RP-HV154-K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser EPOS Game Zero Closed Gaming Headset,Sennheiser,1000235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech H340 Closed-Back Headphones,Logitech,981-000507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle Beach Call of Duty: Ghosts Ear Force Spectre Closed-Back Gaming Headset,Turtle Beach,TBS-4208-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs ZEN AURVANA In-Ear Closed Headphones,Creative Labs,51MZ0270AA007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shure SE315-CL Closed In-Ear Headphones,Shure,SE315-CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus TUF Gaming H3 Gaming Headset Closed,Asus,90YH029B-B1UA00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba GamesterGear Cruiser Closed-Back Gaming Headset,Syba,Cruiser P3210-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HJE140-R Closed Earbud,Panasonic,RP-HJE140-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair Virtuoso RGB 7.1-Channel Closed-Back Gaming Headset,Corsair,CA-9011186-NA                                                    CA-9011186-EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCHOSE G9 Pro 7.1 Channel Closed Gaming Headset,MCHOSE,MC-G9-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKG K518LE Closed-Back Headphones,AKG,K518LEYEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser CX175 In-Ear Headphones,Sennheiser,CX175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser M2 OEG Black Closed Headphones,Sennheiser,M2 OEG Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gear Head HS2750S Closed-Back Headphones,Gear Head,8.7826E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantronics BackBeat PRO Closed-Back Headphones,Plantronics,200590-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Major II Closed Black Headphones,Marshall,04091114,FBA_4090985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAMDIAS EROS Closed Headphones,GAMDIAS,GHS2200 USB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss Mix Jockey Dj Wired Closed Headphones,Koss,IVG-KSSMIXJOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair VOID RGB ELITE 7.1 Channel Headset,Corsair,CA-9011204-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser Momentum Pink Closed Headphones,Sennheiser,MOMENTUMOEPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser CX150 Earbud Headphones,Sennheiser,CX150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-S220BT Closed Wireless Headphones,Audio-Technica,ATHS220BTWH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDRAS30G Closed-Back Headphones,Sony,MDRAS30G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser PX685IW Closed-Back In-Ear Headphones,Sennheiser,PX685IW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JBL Quantum 910 Wireless Gaming Headset,JBL,JBLQ910WLBLKAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Electra Essential Gaming & Music Headset,Razer,RZ04-00700100-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermaltake SHOCK SPIN Closed-Back Headphones,Thermaltake,HT-SKS004ECWH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-M50xWH Headphones,Audio-Technica,ATH-M50xWH,AUD ATHM50XWH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony CZ-MDREX37B/BLK In Ear Headphones,Sony,CZ-MDREX37B,BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHQ3205/28 Closed In-Ear Headphones,Philips,SHQ3205,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
